county,year,flood_events,drought_events,heatwave_days,people_affected_thousands,economic_loss_millions_kes
Kisii,2000,0,0,4,10.1,8.8
Kisii,2001,2,0,0,50.4,181.1
Kisii,2002,1,0,4,8.4,46.4
Kisii,2003,0,4,2,19.7,21.9
Kisii,2004,1,1,3,39.4,12.3
Kisii,2005,2,0,2,34.0,41.3
Kisii,2006,2,0,5,6.2,170.0
Kisii,2007,1,2,9,17.0,182.0
Kisii,2008,4,1,10,11.4,111.9
Kisii,2009,2,3,6,35.2,162.2
Kisii,2010,3,1,11,60.5,97.2
Kisii,2011,4,4,10,36.1,253.4
Kisii,2012,4,2,8,47.3,74.8
Kisii,2013,0,2,11,28.7,163.7
Kisii,2014,2,0,10,3.3,197.2
Kisii,2015,1,4,11,17.9,115.8
Kisii,2016,4,0,13,26.5,116.9
Kisii,2017,1,0,16,56.7,41.8
Kisii,2018,1,0,13,5.0,45.3
Kisii,2019,2,3,16,34.4,136.4
Kisii,2020,0,3,18,1.7,154.6
Kisii,2021,1,1,17,70.0,97.6
Kisii,2022,2,1,19,65.3,22.3
Kisii,2023,4,2,18,48.1,310.2
Kisii,2024,2,0,21,78.9,298.0
Kisii,2025,2,3,17,4.6,68.1
Turkana,2000,2,4,0,8.5,36.9
Turkana,2001,2,8,3,40.0,176.9
Turkana,2002,4,4,0,3.8,177.2
Turkana,2003,1,3,3,32.8,7.6
Turkana,2004,1,9,2,18.3,71.3
Turkana,2005,0,5,8,15.8,24.7
Turkana,2006,1,8,7,49.7,117.1
Turkana,2007,1,4,5,37.6,174.4
Turkana,2008,0,4,11,50.2,132.4
Turkana,2009,1,8,8,30.3,68.7
Turkana,2010,2,2,11,12.9,229.0
Turkana,2011,3,13,8,44.3,202.6
Turkana,2012,0,4,8,23.4,64.6
Turkana,2013,2,5,8,48.7,250.2
Turkana,2014,0,2,12,10.8,55.0
Turkana,2015,1,4,14,15.0,94.8
Turkana,2016,0,7,16,41.8,56.3
Turkana,2017,2,9,14,7.9,174.4
Turkana,2018,2,6,13,39.0,100.9
Turkana,2019,1,9,15,10.9,160.8
Turkana,2020,0,4,18,11.2,165.4
Turkana,2021,1,4,15,25.6,282.6
Turkana,2022,1,5,20,33.0,171.0
Turkana,2023,0,7,21,29.2,259.2
Turkana,2024,3,10,17,73.8,259.1
Turkana,2025,1,5,24,20.6,291.0
Baringo,2000,2,1,4,17.8,120.6
Baringo,2001,0,0,0,17.8,84.4
Baringo,2002,3,1,6,44.3,25.6
Baringo,2003,2,0,3,12.2,134.5
Baringo,2004,1,2,1,4.3,44.4
Baringo,2005,1,5,2,20.7,23.0
Baringo,2006,2,0,5,42.9,160.2
Baringo,2007,1,2,9,32.6,105.8
Baringo,2008,1,1,5,16.1,63.0
Baringo,2009,1,2,5,51.9,40.0
Baringo,2010,0,2,10,32.7,201.1
Baringo,2011,2,2,11,9.6,13.3
Baringo,2012,3,4,12,26.3,187.5
Baringo,2013,2,6,8,3.5,28.4
Baringo,2014,2,1,12,4.3,193.6
Baringo,2015,1,0,14,45.3,254.2
Baringo,2016,1,1,11,67.6,138.1
Baringo,2017,3,0,14,2.2,283.5
Baringo,2018,2,1,16,5.0,138.5
Baringo,2019,1,1,13,20.5,158.2
Baringo,2020,1,1,19,6.2,232.6
Baringo,2021,0,2,21,50.6,202.5
Baringo,2022,4,0,19,4.4,56.0
Baringo,2023,0,0,23,40.4,223.8
Baringo,2024,2,1,17,11.8,243.8
Baringo,2025,0,2,19,80.2,238.6
Uasin Gishu,2000,0,0,0,21.8,7.0
Uasin Gishu,2001,0,2,3,11.2,10.2
Uasin Gishu,2002,2,0,0,8.8,36.5
Uasin Gishu,2003,0,0,6,30.7,214.9
Uasin Gishu,2004,1,0,6,38.0,190.0
Uasin Gishu,2005,0,1,2,26.1,100.4
Uasin Gishu,2006,0,1,3,42.5,200.4
Uasin Gishu,2007,2,1,6,43.9,166.7
Uasin Gishu,2008,1,0,7,46.6,80.9
Uasin Gishu,2009,2,1,7,9.0,169.7
Uasin Gishu,2010,1,3,12,55.2,129.1
Uasin Gishu,2011,1,0,10,45.8,237.5
Uasin Gishu,2012,1,2,9,50.2,10.9
Uasin Gishu,2013,3,1,9,4.9,30.5
Uasin Gishu,2014,2,0,13,19.0,149.2
Uasin Gishu,2015,2,0,14,52.2,246.8
Uasin Gishu,2016,0,1,12,51.1,191.0
Uasin Gishu,2017,1,1,14,55.5,167.1
Uasin Gishu,2018,1,3,12,65.8,169.1
Uasin Gishu,2019,4,2,12,58.4,187.8
Uasin Gishu,2020,2,2,13,62.1,261.2
Uasin Gishu,2021,1,0,20,71.2,120.4
Uasin Gishu,2022,0,3,22,29.9,93.5
Uasin Gishu,2023,0,1,22,71.6,271.4
Uasin Gishu,2024,1,1,20,60.0,273.4
Uasin Gishu,2025,0,0,19,70.7,135.2
Elgeyo Marakwet,2000,1,4,0,15.7,40.8
Elgeyo Marakwet,2001,1,2,0,38.7,167.0
Elgeyo Marakwet,2002,1,0,0,35.0,148.2
Elgeyo Marakwet,2003,1,0,5,4.0,18.8
Elgeyo Marakwet,2004,0,2,2,50.8,72.9
Elgeyo Marakwet,2005,1,0,3,4.9,34.0
Elgeyo Marakwet,2006,0,0,4,24.5,199.2
Elgeyo Marakwet,2007,0,2,10,1.8,110.9
Elgeyo Marakwet,2008,0,0,7,56.4,59.5
Elgeyo Marakwet,2009,2,1,11,48.9,201.0
Elgeyo Marakwet,2010,1,1,11,9.5,36.4
Elgeyo Marakwet,2011,1,0,7,23.6,104.5
Elgeyo Marakwet,2012,0,2,14,59.0,259.2
Elgeyo Marakwet,2013,0,1,9,6.9,149.4
