county,year,temp_anomaly_c,hot_days_above_35c,tropical_nights,source
Nairobi,1991,-0.1,0,1,Simulated Data
Nairobi,1992,0.11,0,0,Simulated Data
Nairobi,1993,-0.29,0,1,Simulated Data
Nairobi,1994,0.26,0,3,Simulated Data
Nairobi,1995,0.39,0,0,Simulated Data
Nairobi,1996,-0.1,0,0,Simulated Data
Nairobi,1997,0.13,0,1,Simulated Data
Nairobi,1998,-0.08,0,0,Simulated Data
Nairobi,1999,0.2,0,0,Simulated Data
Nairobi,2000,0.28,0,0,Simulated Data
Nairobi,2001,0.39,0,0,Simulated Data
Nairobi,2002,0.69,0,2,Simulated Data
Nairobi,2003,0.2,0,1,Simulated Data
Nairobi,2004,0.34,0,0,Simulated Data
Nairobi,2005,0.05,0,0,Simulated Data
Nairobi,2006,0.58,0,0,Simulated Data
Nairobi,2007,0.52,0,3,Simulated Data
Nairobi,2008,0.73,0,2,Simulated Data
Nairobi,2009,0.62,0,0,Simulated Data
Nairobi,2010,0.33,0,0,Simulated Data
Nairobi,2011,0.51,0,2,Simulated Data
Nairobi,2012,0.52,0,0,Simulated Data
Nairobi,2013,0.37,0,0,Simulated Data
Nairobi,2014,1.08,0,0,Simulated Data
Nairobi,2015,0.32,0,1,Simulated Data
Nairobi,2016,0.93,0,0,Simulated Data
Nairobi,2017,0.67,0,2,Simulated Data
Nairobi,2018,0.91,0,0,Simulated Data
Nairobi,2019,0.69,0,1,Simulated Data
Nairobi,2020,0.98,0,0,Simulated Data
Nairobi,2021,0.6,0,2,Simulated Data
Nairobi,2022,0.98,0,0,Simulated Data
Nairobi,2023,0.98,0,0,Simulated Data
Nairobi,2024,0.68,0,1,Simulated Data
Mombasa,1991,-0.15,21,15,Simulated Data
Mombasa,1992,-0.17,20,14,Simulated Data
Mombasa,1993,-0.16,17,9,Simulated Data
Mombasa,1994,-0.18,25,17,Simulated Data
Mombasa,1995,0.23,28,19,Simulated Data
Mombasa,1996,-0.1,26,16,Simulated Data
Mombasa,1997,0.43,30,17,Simulated Data
Mombasa,1998,-0.1,19,11,Simulated Data
Mombasa,1999,0.49,30,15,Simulated Data
Mombasa,2000,0.28,24,13,Simulated Data
Mombasa,2001,0.0,21,15,Simulated Data
Mombasa,2002,0.19,24,16,Simulated Data
Mombasa,2003,0.25,29,20,Simulated Data
Mombasa,2004,0.19,24,13,Simulated Data
Mombasa,2005,0.25,20,13,Simulated Data
Mombasa,2006,0.45,22,12,Simulated Data
Mombasa,2007,0.81,26,13,Simulated Data
Mombasa,2008,0.5,31,17,Simulated Data
Mombasa,2009,0.68,30,16,Simulated Data
Mombasa,2010,0.75,27,17,Simulated Data
Mombasa,2011,0.71,28,14,Simulated Data
Mombasa,2012,0.9,28,15,Simulated Data
Mombasa,2013,0.29,26,17,Simulated Data
Mombasa,2014,0.3,25,13,Simulated Data
Mombasa,2015,0.84,26,17,Simulated Data
Mombasa,2016,0.66,32,17,Simulated Data
Mombasa,2017,0.65,24,17,Simulated Data
Mombasa,2018,1.11,29,18,Simulated Data
Mombasa,2019,1.09,32,19,Simulated Data
Mombasa,2020,0.66,24,17,Simulated Data
